name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1700000,48295,1,2,Вторичка,35.2,Null,Null,Null,1,1,Null,1978,Null,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Центральный, ул. 10 лет Октября, 203В",https://omsk.cian.ru/sale/flat/289425511/
2-комн. квартира,1800000,60000,3,5,Вторичка,30.0,Null,Null,Null,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Кировский, ул. 2-я Солнечная, 29",https://omsk.cian.ru/sale/flat/288992033/
2-комн. квартира,1750000,38377,1,5,Вторичка,45.6,28.0,7.0,Null,1,Null,Косметический,1965,Null,Панельный,Железобетонные,4,Центральное,Нет,Автономное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, ул. Моторостроителей, 30",https://omsk.cian.ru/sale/flat/286077555/
1-комн. квартира,1700000,54839,1,2,Вторичка,31.0,Null,Null,Null,1,Null,Косметический,1965,Null,Кирпичный,Нет информации,Null,Нет информации,Нет,Автономное,Null,Null,"Омская область, Омск, Советский, Береговой микрорайон, ул. Косенкова, 22",https://omsk.cian.ru/sale/flat/292256406/
2-комн. квартира,1850000,40217,5,5,Вторичка,46.0,Null,Null,Null,1,1,Косметический,1964,Null,Панельный,Железобетонные,4,Центральное,Нет,Автономное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, ул. Моторостроителей, 26",https://omsk.cian.ru/sale/flat/294007478/
1-комн. квартира,1642000,52968,1,2,Вторичка,31.0,20.0,6.0,2.54,Null,Null,Косметический,1975,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Ленинский, мкр. Дальний, 14",https://omsk.cian.ru/sale/flat/293860334/
1-комн. квартира,1800000,85308,1,5,Вторичка,21.1,12.0,4.6,2.53,Null,Null,Косметический,1982,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Кировский, мкр. Мельничный, Мельничная ул., 89Б",https://omsk.cian.ru/sale/flat/292651416/
3-комн. квартира,1850000,32456,1,1,Вторичка,57.0,41.0,7.0,2.85,Null,Null,Без ремонта,Null,Null,Панельный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Октябрьский, ул. 27-я Рабочая, 44А",https://omsk.cian.ru/sale/flat/291663605/
2-комн. квартира,1800000,32143,2,2,Вторичка,56.0,40.0,11.0,2.5,1,1,Косметический,1980,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Кировский, Входной микрорайон, 2888 километр железнодорожная станция, 6",https://omsk.cian.ru/sale/flat/288233532/
1-комн. квартира,1800000,75000,1,2,Вторичка,24.0,Null,Null,Null,Null,Null,Евроремонт,Null,Нет,Блочный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Центральный, Осоавиахимовская ул., 203",https://omsk.cian.ru/sale/flat/290951310/
1-комн. квартира,1880000,104444,3,5,Вторичка,18.0,Null,Null,Null,Null,Null,Косметический,1978,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Центральный, ул. Шебалдина, 68",https://omsk.cian.ru/sale/flat/293241117/
1-комн. квартира,1800000,45000,1,12,Вторичка,40.0,Null,Null,Null,Null,Null,Null,2007,Null,Монолитный,Железобетонные,1,Центральное,Нет,Null,Null,Null,"Омская область, Омск, Центральный, ул. 2-я Совхозная, 62",https://omsk.cian.ru/sale/flat/294118083/
1-комн. квартира,1650000,88710,2,6,Вторичка,18.6,Null,Null,2.8,Null,Null,Null,1979,Null,Null,Нет информации,2,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 20-го Партсъезда, 47",https://omsk.cian.ru/sale/flat/290208362/
